Ir ao parque;Escolhe esta recompensa para os teus pais irem contigo dar um passeio a um parque!
Ir ao cinema;Com esta recompensa, podes ir ao cinema ver um filme à tua escolha!
Ir comer um gelado;Escolhe esta recompensa para os teus pais te oferecerem um gelado
Ajudar a fazer um bolo;Se escolheres esta recompensa podes ajudar os teus pais a fazer um bolo delicioso!
Ir jantar jora;Com esta recompensa, podes ir jantar fora com os teus pais
Escolher o que é o jantar;Escolhe esta recompensa, para poderes escolher o que vai ser o jantar esta noite!
Sobremesa à minha escolha;Podes escolher a sobremesa que quiseres para comer hoje!
Noite de cinema em casa com filme à minha escolha;Se escolheres esta recompensa, podes ver com os teus pais o filme que quiseres na noite de cinema em casa! 
Ficar acordado mais 30 minutos do que o normal no fim de semana;Escolhe esta recompensa para ficares acordado mais 30 minutos do que o normal neste fim de semana!
Festa do pijama com 2 amigos;Se escolheres esta recompensa, podes convidar 2 amigos teus para fazerem uma festa do pijama contigo!
Duas horas sozinho com o pai a fazer uma atividade que eu queira;Escolhe esta recompensa, para teres duas horas do dia do teu pai só para ti e para fazerem o que quiserem!
Duas horas sozinho com a mãe a fazer uma atividade que eu queira;Escolhe esta recompensa, para teres duas horas do dia da tua mãe só para ti e para fazerem o que quiserem!
Ir tomar o pequeno-almoço fora;Se escolheres esta recompensa, podes ir tomar o pequeno-almoço fora com os teus pais!
Dia todo de pijama;Escolhe esta recompensa para os teus pais te deixarem passar o próximo dia todo de pijama!
Convidar um amigo para brincar;Se escolheres esta recompensa, os teus pais deixam-te convidar um amigo para vir brincar contigo! 
